FID,CSA2010,hhpov15,hhpov16,hhpov17,hhpov18,SHAPE_Length,SHAPE_Area
35,Midtown,7.5716603569497,8.06451612903226,5.41948931735278,6.24321389793702,25020.0969697781,23823949.929494
36,Midway/Coldstream,25.7916241062308,23.6373748609566,22.6038781163434,23.8990017615971,22767.8274161691,17884471.2860874
37,Morrell Park/Violetville,12.5077784691973,14.5287958115183,12.8085390260173,11.6583541147132,44412.7451302931,67470845.9897077
38,Mount Washington/Coldspring,5.05569837189374,3.78983634797588,1.99637023593466,2.24525043177892,38539.7661484923,56943058.650076
39,North Baltimore/Guilford/Homeland,5.82491582491583,5.72556762092794,3.48289927831816,4.14237496164467,42904.2221443837,74923987.6939622
40,Northwood,7.97453001819284,7.60444845205891,6.60901791229153,5.66332916145181,38889.8945910241,52743271.7685975
41,Oldtown/Middle East,44.3850267379679,42.5,40.1262916188289,40.3614457831325,23866.328178856,24585968.2339966
42,Orangeville/East Highlandtown,13.0692167577413,13.6826783114993,13.2367149758454,12.5453602903058,47825.8629265765,89894372.2114828
43,Patterson Park North & East,26.2806236080178,22.8329029878274,21.6876670484917,25.4124116260801,21786.3746600731,14507643.2040733
44,Penn North/Reservoir Hill,29.2645556690501,29.4245385450597,25.9645464025026,20.3485103991006,29078.8384985474,41059796.6771503
45,Pimlico/Arlington/Hilltop,17.4418604651163,19,19.1190253045923,20.4010025062656,24725.9340693497,30400962.0052273
46,Poppleton/The Terraces/Hollins Market,48.7209302325581,47.6545842217484,44.9723756906077,42.7821522309711,12334.0275347364,9302012.99882708
47,Sandtown-Winchester/Harlem Park,35.8477743798845,31.8228986509858,35.0450803606428,35.9949302915082,20987.1433066415,23672092.8680536
48,South Baltimore,3.70101596516691,0.81190798376184,0.826446280991735,0.20366598778004,68440.0258267645,46353935.42529
49,Southeastern,26.2565641410353,29.4488188976378,30.281690140845,27.5726630007855,102291.480547452,111251478.472831
50,Southern Park Heights,35.9310344827586,34.8705214615112,31.6257559587335,31.0358565737051,24052.2213722085,27876227.5906738
51,Southwest Baltimore,32.983682983683,36.0159817351598,35.7832450949859,32.0343663700521,28355.5635813649,37766068.8367913
52,The Waverlies,14.2767295597484,18.340348767288,20.5143540669856,19.1616766467065,18733.8268797396,20383750.5443637
53,Upton/Druid Heights,46.6466466466466,44.15,42.9824561403508,39.9041022908897,19389.3078211947,16976622.3381282
54,Washington Village/Pigtown,24.7403210576015,24.7887323943662,22.5742574257425,19.9306759098786,36962.2600947345,39343262.0375946
55,Westport/Mount Winans/Lakeland,23.7055520898316,19.8501872659176,21.8228498074454,23.5054347826086,42573.1244161893,45494092.9497963
