OBJECTID,CSA2010,ppac10,ppac15,ppac16,ppac17,ppac18,SHAPE_Length,SHAPE_Area
22,Greater Roland Park/Poplar Hill,0.244001626677511,0.721784776902887,0.828371731814652,0.957377049,1.86202277294038,39862.7497953315,56688145.179702
23,Greater Rosemont,0.275196012254011,0.108758236837055,0.270725544459151,0.23057413,0.205761316872428,32559.0762212062,42204384.5422658
24,Greenmount East,0.329912023460411,0.23403978676375,0.240202275600506,0.203743792,0.396615547329455,20797.473457859,19072287.8238042
25,Hamilton,0.68451007537302,0.504189219248165,0.505651397977394,0.432713111,0.162999185004074,27712.1110914795,45191100.5593894
26,Harbor East/Little Italy,0.573330867394119,0.159066808059385,0.423205783812379,0.404787047,0.656977901652399,18552.4075815481,10215859.0840198
27,Harford/Echodale,0.421640239919235,0.432472507104905,0.247023055485179,0,0,40019.1854001864,65360039.1701278
28,Highlandtown,1.06206896551724,0.0957723354768094,0,0,0.563153660498793,14976.1238513953,11684191.1190149
29,Howard Park/West Arlington,0.34948956129863,0.464322941343694,0.80585402000741,0.159080866,0.386100386100386,36034.4984469622,63262430.0731008
30,Inner Harbor/Federal Hill,0.404511863088293,0.18001800180018,0.724852071005917,1.000809478,2.3269870051375,43415.0595477941,24995836.2620936
31,Lauraville,0.562209728672696,1.37992977872132,2.89486632770215,2.226041411,2.70780339706244,34419.6765281197,49665744.2382935
32,Loch Raven,0.228593821435569,0.00580686371290866,0.375256523013779,0.984413454,1.2751016385364,29314.3346718106,44147812.3259686
33,Madison/East End,0.55262819688986,1.38811771238201,0.643224699828473,1.365498407,1.2405024034734,13120.1587193821,8897845.19137351
34,Medfield/Hampden/Woodberry/Remington,0.483091787439614,0.308818483358115,0.270970782280867,0.312002936,0.0910746812386156,43152.6256992199,62441489.2397897
35,Midtown,0.545938748335553,0.322144191740223,0.652498135719612,0.683905426,0.622712974256917,25020.0969697781,23823949.929494
36,Midway/Coldstream,0.3428927680798,0.309961522017956,0.482425913163336,0.295178747,0.397746105402717,22767.8274161691,17884471.2860874
37,Morrell Park/Violetville,0.769745649263722,0.14037774374681,0.169690640908498,0.548159749,0.425159434788045,44412.7451302931,67470845.9897077
38,Mount Washington/Coldspring,0.464396284829721,0.37008180755746,0,0,0,38539.7661484923,56943058.650076
39,North Baltimore/Guilford/Homeland,0.343563902885937,0.603830007475991,0.58405135025733,0.726965342,0.756412443837797,42904.2221443837,74923987.6939622
40,Northwood,0.36051192693625,0.289102601923417,0.33593976252534,0.541557405,0.855142332415059,38889.8945910241,52743271.7685975
41,Oldtown/Middle East,0.299371320227522,0.172320947765213,0.31055900621118,0.189993667,0.159100551548578,23866.328178856,24585968.2339966
42,Orangeville/East Highlandtown,0.919943051144453,2.35408560311284,2.39403453689168,2.278433925,1.9633630812588,47825.8629265765,89894372.2114828
43,Patterson Park North & East,1.16846518661076,0.635446884928858,0.736346901206791,0.246896163,0.2108784176847,21786.3746600731,14507643.2040733
44,Penn North/Reservoir Hill,0.455109640049648,0.784795763993949,0.674684658257554,0.662314315,0.803697006228651,29078.8384985474,41059796.6771503
45,Pimlico/Arlington/Hilltop,0.296208530805687,0,0.117999455387129,0.236540827,0.359852168838747,24725.9340693497,30400962.0052273
46,Poppleton/The Terraces/Hollins Market,0.432559968541093,0.081366965012205,0.098755678451511,0.103434009,0.15562472209871,12334.0275347364,9302012.99882708
47,Sandtown-Winchester/Harlem Park,0.18796992481203,1.18571980925377,1.3457139012246,1.295062102,1.02202503565203,20987.1433066415,23672092.8680536
48,South Baltimore,0.312207305650952,0.112723686064534,0.0951474785918173,0.109980753,0.757883340100148,68440.0258267645,46353935.42529
49,Southeastern,1.51757188498403,1.5583019881784,0.505050505050505,0.546267174,0,102291.480547452,111251478.472831
50,Southern Park Heights,0.421559771153267,0.0334873752595272,0.0426439232409382,0.0362529,0.0234082397003745,24052.2213722085,27876227.5906738
51,Southwest Baltimore,0.592675426334918,0.752757192040614,1.03133677112257,1.07463041,1.02969348659003,28355.5635813649,37766068.8367913
52,The Waverlies,0.451438152973043,3.15546434068753,2.99724103335841,2.937976061,0.111234705228031,18733.8268797396,20383750.5443637
53,Upton/Druid Heights,0.406111003674338,0.287955515837553,0.37065938353492,0.450538688,0.60063224446786,19389.3078211947,16976622.3381282
54,Washington Village/Pigtown,0.690532436852626,0,0,0,0,36962.2600947345,39343262.0375946
55,Westport/Mount Winans/Lakeland,0.435454417755303,0.0574217628481194,0.0731528895391368,0,0,42573.1244161893,45494092.9497963
