FID,CSA2010,phisp10,phisp15,phisp16,phsip17,phisp18,SHAPE_Length,SHAPE_Area
29,Howard Park/West Arlington,1.58190011956222,0.663318487633848,0.833642089662838,0.777728679,1.39175720571069,36034.4984469622,63262430.0731008
30,Inner Harbor/Federal Hill,3.1660832360949,4.67296729672967,5.25147928994083,5.254249761,5.99879117558174,43415.0595477941,24995836.2620936
31,Lauraville,2.28143078301964,2.35159630930024,3.64113498441857,3.879204518,3.61040452941659,34419.6765281197,49665744.2382935
32,Loch Raven,1.81568806740252,1.75367284129841,1.89973614775726,2.027422946,2.37772576074904,29314.3346718106,44147812.3259686
33,Madison/East End,4.00976738208456,7.00999444752915,9.40537449971412,8.936428463,10.063575748178,13120.1587193821,8897845.19137351
34,Medfield/Hampden/Woodberry/Remington,3.55417529330573,4.51790003431316,4.03510838831291,3.664505078,3.59441408621736,43152.6256992199,62441489.2397897
35,Midtown,3.8948069241012,5.77282391598479,6.18319661943823,6.083501596,5.71355203184181,25020.0969697781,23823949.929494
36,Midway/Coldstream,1.08063175394846,1.99871740059855,1.57362738341374,1.410298459,1.0164622693625,22767.8274161691,17884471.2860874
37,Morrell Park/Violetville,4.27264614011602,6.64880040837162,8.82391332724187,9.410075698,7.22771039139677,44412.7451302931,67470845.9897077
38,Mount Washington/Coldspring,2.53482972136223,3.54499415660304,3.60144057623049,4.23439695,4.77962781586679,38539.7661484923,56943058.650076
39,North Baltimore/Guilford/Homeland,3.32684379294549,3.58847547300017,3.37708899554733,3.854606932,3.46926008075982,42904.2221443837,74923987.6939622
40,Northwood,1.67037192813796,2.67862410761697,3.52736750651607,4.087333257,4.43067033976124,38889.8945910241,52743271.7685975
41,Oldtown/Middle East,1.73635365731963,1.17393645665051,1.46406388642413,1.604390965,2.39711497666525,23866.328178856,24585968.2339966
42,Orangeville/East Highlandtown,30.3471689847771,31.8871595330739,35.0667189952904,35.22737841,36.8060122123062,47825.8629265765,89894372.2114828
43,Patterson Park North & East,21.0804866313836,15.5270064926095,17.0927933456058,14.01664786,14.3106457242582,21786.3746600731,14507643.2040733
44,Penn North/Reservoir Hill,1.48944973107158,1.85325264750378,2.84540921091229,2.876336456,1.68776371308016,29078.8384985474,41059796.6771503
45,Pimlico/Arlington/Hilltop,1.10866621530129,0.898511038849906,0.59907415811927,0.567697985,0.816961680606885,24725.9340693497,30400962.0052273
46,Poppleton/The Terraces/Hollins Market,1.67125442390877,1.81041497152156,2.03436697610113,1.36532892,2.40106714095153,12334.0275347364,9302012.99882708
47,Sandtown-Winchester/Harlem Park,0.731740064446831,0.380203634488981,0.141299959628583,0.333232354,0.404056409443828,20987.1433066415,23672092.8680536
48,South Baltimore,2.5913206369029,5.01620402987178,4.59426396629061,3.973054715,3.31573961293815,68440.0258267645,46353935.42529
49,Southeastern,19.9201277955272,21.8699623858141,23.3044733044733,25.59178944,26.5425101214574,102291.480547452,111251478.472831
50,Southern Park Heights,0.940981632038543,2.67899002076217,2.85714285714286,1.885150812,2.43445692883895,24052.2213722085,27876227.5906738
51,Southwest Baltimore,3.6399217221135,6.16794071307697,6.45435484784949,6.732767322,6.11230842911877,28355.5635813649,37766068.8367913
52,The Waverlies,2.43776602605443,1.26988199076449,3.14773012289942,3.723854431,4.20219997528117,18733.8268797396,20383750.5443637
53,Upton/Druid Heights,1.37304196480371,0.506404527852249,0.604760046820133,0.636630754,1.06427818756585,19389.3078211947,16976622.3381282
54,Washington Village/Pigtown,3.43449027803017,2.35734331150608,3.38145896656535,2.646677772,5.59336099585062,36962.2600947345,39343262.0375946
55,Westport/Mount Winans/Lakeland,13.0636325326591,5.62733275911571,4.28675932699342,7.472201631,9.90410312843892,42573.1244161893,45494092.9497963
