OBJECTID,CSA2010,teenbir10,teenbir11,teenbir12,teenbir13,teenbir14,teenbir15,teenbir16,teenbir17,teenbir18,SHAPE_Length,SHAPE_Area
14,Downtown/Seton Hill,65.2173913043478,43.4782608695652,21.7391304347826,10.8695652173913,43.4782608695652,10.8695652173913,32.6086956521739,54.3478260869565,32.6086956521739,21565.8593945388,20736554.4071934
15,Edmondson Village,89.5061728395062,64.8148148148148,49.3827160493827,52.4691358024691,24.6913580246914,33.9506172839506,37.037037037037,24.6913580246914,21.6049382716049,21504.5513578719,23563061.0426838
16,Fells Point,88.8888888888889,44.4444444444444,100,22.2222222222222,33.3333333333333,11.1111111111111,22.2222222222222,0,22.2222222222222,27670.1699158504,12620515.7178779
17,Forest Park/Walbrook,71.8085106382979,58.5106382978723,50.531914893617,37.2340425531915,34.5744680851064,37.2340425531915,21.2765957446809,13.2978723404255,31.9148936170213,36886.899781185,37200535.0297002
18,Glen-Fallstaff,49.5238095238095,30.4761904761905,26.6666666666667,15.2380952380952,40,17.1428571428571,17.1428571428571,20.952380952381,26.6666666666667,48549.0046179359,46995477.4779553
19,Greater Charles Village/Barclay,9.68992248062015,11.6279069767442,10.6589147286822,9.68992248062015,6.78294573643411,5.81395348837209,1.93798449612403,8.72093023255814,3.87596899224806,26454.2692113378,27051213.4555493
20,Greater Govans,53.6585365853659,68.2926829268293,34.1463414634146,46.3414634146341,56.0975609756098,46.3414634146341,21.9512195121951,31.7073170731707,31.7073170731707,22982.1257150065,22698495.7172767
21,Greater Mondawmin,42.9338103756708,32.2003577817531,41.1449016100179,21.4669051878354,16.1001788908766,16.1001788908766,12.5223613595707,14.3112701252236,14.3112701252236,31136.7318903894,33663448.2791136
22,Greater Roland Park/Poplar Hill,0,0,0,0,0,0,0,0,0,39862.7497953315,56688145.179702
23,Greater Rosemont,80.8457711442786,64.6766169154229,58.4577114427861,57.2139303482587,44.7761194029851,39.8009950248756,36.0696517412935,27.363184079602,29.8507462686567,32559.0762212062,42204384.5422658
24,Greenmount East,99.1735537190083,79.8898071625344,55.0964187327824,74.3801652892562,90.9090909090909,38.5674931129477,44.0771349862259,24.7933884297521,22.038567493113,20797.473457859,19072287.8238042
25,Hamilton,25.2631578947368,10.5263157894737,27.3684210526316,33.6842105263158,18.9473684210526,16.8421052631579,23.1578947368421,12.6315789473684,18.9473684210526,27712.1110914795,45191100.5593894
26,Harbor East/Little Italy,70.4225352112676,70.4225352112676,49.2957746478873,49.2957746478873,28.169014084507,28.169014084507,28.169014084507,21.1267605633803,14.0845070422535,18552.4075815481,10215859.0840198
27,Harford/Echodale,15.8415841584158,45.5445544554455,29.7029702970297,23.7623762376238,23.7623762376238,31.6831683168317,19.8019801980198,17.8217821782178,19.8019801980198,40019.1854001864,65360039.1701278
